city,month_nr_2019,avg_degrees
Delhi,1,13.432903225806452
Delhi,2,15.836428571428572
Delhi,3,21.026129032258066
Delhi,4,29.640666666666668
Delhi,5,32.64322580645161
Delhi,6,34.217666666666666
Delhi,7,30.783548387096776
Delhi,8,30.01258064516129
Delhi,9,29.259333333333334
Delhi,10,25.639032258064518
Delhi,11,20.813333333333333
Delhi,12,12.441612903225806
Mexico City,1,12.590967741935485
Mexico City,2,15.395714285714286
Mexico City,3,16.864838709677418
Mexico City,4,17.902333333333335
Mexico City,5,19.608064516129033
Mexico City,6,17.805666666666667
Mexico City,7,16.15774193548387
Mexico City,8,16.74483870967742
Mexico City,9,16.403
Mexico City,10,15.849032258064517
Mexico City,11,14.965333333333334
Mexico City,12,13.030967741935484
Mumbai,1,23.283548387096776
Mumbai,2,23.762857142857143
Mumbai,3,25.795161290322582
Mumbai,4,28.213666666666665
Mumbai,5,28.754516129032258
Mumbai,6,28.673333333333332
Mumbai,7,27.080000000000002
Mumbai,8,26.8341935483871
Mumbai,9,26.893
Mumbai,10,27.903548387096773
Mumbai,11,27.549333333333333
Mumbai,12,26.229032258064517
New York,1,-0.15903225806451615
New York,2,1.8089285714285714
New York,3,4.72741935483871
New York,4,12.157666666666668
New York,5,16.438387096774193
New York,6,21.887333333333334
New York,7,26.273870967741935
New York,8,23.789354838709677
New York,9,20.710333333333335
New York,10,15.20225806451613
New York,11,6.083333333333333
New York,12,3.343225806451613
São Paulo,1,24.620967741935484
São Paulo,2,22.482857142857142
São Paulo,3,22.440967741935484
São Paulo,4,21.866
São Paulo,5,20.021290322580644
São Paulo,6,18.332333333333334
São Paulo,7,16.35290322580645
São Paulo,8,17.156774193548387
São Paulo,9,19.755
São Paulo,10,21.73516129032258
São Paulo,11,20.798
São Paulo,12,21.893548387096775
Shanghai,1,6.319354838709677
Shanghai,2,6.6242857142857146
Shanghai,3,11.442580645161291
Shanghai,4,16.632666666666665
Shanghai,5,20.736451612903227
Shanghai,6,23.944666666666667
Shanghai,7,27.566129032258065
Shanghai,8,28.583548387096773
Shanghai,9,24.630333333333333
Shanghai,10,19.739354838709676
Shanghai,11,14.901666666666666
Shanghai,12,8.98967741935484
Tokyo,1,5.39258064516129
Tokyo,2,7.089285714285714
Tokyo,3,10.382903225806452
Tokyo,4,13.745666666666667
Tokyo,5,19.94967741935484
Tokyo,6,22.124333333333333
Tokyo,7,24.558064516129033
Tokyo,8,28.40225806451613
Tokyo,9,25.108333333333334
Tokyo,10,19.7558064516129
Tokyo,11,13.174666666666667
Tokyo,12,8.681935483870967
